timestamp,accel_x,accel_y,accel_z
7269,9.54,13.93,11.27
7293,11.37,5.08,11.95
7316,-4.01,-11.44,9.15
7340,-12.92,-8.57,13.24
7363,-1.91,10.14,9.51
7387,11.89,13.30,12.84
7410,6.49,-3.44,8.33
7434,-8.04,-12.44,11.22
7457,-10.83,-0.63,10.58
7481,0.55,11.56,9.78
7504,11.83,9.42,13.38
7528,6.11,-4.06,8.27
7551,-10.57,-12.18,12.87
7575,-10.95,-1.06,10.64
7598,5.36,13.26,10.18
7622,11.93,9.47,13.37
7645,1.48,-8.42,7.74
7669,-11.63,-12.04,13.28
7692,-7.19,5.35,9.49
7716,8.09,13.69,10.76
7739,10.48,2.65,10.89
7763,-2.17,-10.39,8.30
7786,-12.77,-6.61,12.67
7810,-4.01,8.36,9.50
7833,11.80,12.47,13.20
7857,8.96,-0.09,9.75
7880,-7.74,-12.54,11.11
7904,-12.19,-5.15,12.20
7928,0.03,11.22,9.75
7951,11.65,12.32,13.09
7975,6.13,-3.92,8.24
7998,-8.40,-12.67,11.26
8022,-10.47,-0.17,10.42
8045,2.72,12.55,9.81
8069,11.98,7.44,12.99
8092,2.56,-7.11,7.44
8116,-12.82,-10.36,13.61
8139,-7.91,4.12,9.58
8163,9.87,13.90,11.45
8186,11.14,4.75,12.06
8210,-2.31,-10.43,8.53
8233,-12.33,-6.74,12.75
8257,-5.55,6.83,9.55
8280,10.43,12.87,12.31
8304,8.98,-0.09,9.79
8328,-1.51,-10.09,8.68
8351,-11.84,-7.88,12.99
8375,-7.99,3.93,9.67
8398,6.94,13.25,10.97
8422,11.24,7.99,13.06
8445,3.18,-6.95,7.80
8469,-8.84,-12.21,12.12
8492,-10.24,0.06,10.45
8516,-0.81,10.59,10.03
8539,11.28,10.53,13.46
8563,8.31,-1.24,9.30
8586,-6.81,-12.10,10.95
8610,-11.99,-6.34,12.53
8633,-1.72,10.23,9.80
8657,10.78,12.73,12.68
8681,8.25,-0.83,9.30
8704,-2.91,-10.89,9.10
8728,-12.03,-6.66,12.62
8751,-6.04,6.43,9.59
8775,10.28,13.02,12.27
8798,10.59,3.73,11.54
8822,-2.25,-10.52,8.72
8845,-11.54,-10.19,13.35
8869,-6.97,5.43,9.34
8892,5.18,12.79,10.46
8916,11.06,6.01,12.56
8939,4.86,-5.23,7.90
8963,-9.83,-11.85,12.78
8986,-11.14,-2.36,11.16
9010,0.76,11.65,10.06
9033,10.83,11.55,13.07
9057,7.59,-2.04,8.85
9080,-3.80,-11.20,9.46
9104,-11.88,-5.78,12.39
9127,-5.71,7.15,9.60
9151,10.40,12.83,12.36
9174,10.41,3.26,11.37
9198,-2.48,-10.38,8.76
9221,-11.47,-10.33,13.38
9245,-6.94,5.43,9.53
9268,5.67,13.15,10.51
9292,11.03,5.45,12.28
9316,2.91,-6.99,7.53
9339,-11.83,-10.94,13.49
9363,-9.04,1.92,9.93
9386,7.98,14.00,10.86
9410,11.38,6.93,13.05
9433,0.35,-8.83,7.70
9457,-11.38,-11.79,13.32
9480,-7.27,4.30,9.55
9504,9.87,13.81,11.66
9528,10.95,4.89,12.21
9551,-1.81,-10.24,8.19
9575,-12.32,-7.33,13.02
9598,-6.00,6.52,9.48
9622,10.86,13.22,12.35
9645,10.39,2.96,11.36
9669,-4.35,-11.05,8.99
9692,-12.48,-9.00,13.40
9716,-3.35,8.73,9.48
9739,10.74,13.24,12.08
9763,8.62,-0.05,9.73
9786,-4.02,-11.15,8.77
9810,-12.18,-5.51,12.51
9833,-4.09,8.28,9.45
9857,11.35,12.00,13.04
9880,9.69,1.78,10.65
9904,-5.30,-11.73,9.51
9927,-12.22,-8.17,13.29
9951,-3.30,8.83,9.53
9974,10.48,13.17,12.03
9998,8.67,0.13,9.84
10022,-3.89,-10.95,8.53
10045,-12.16,-5.71,12.65
10069,-4.31,7.95,9.45
10092,11.58,12.50,12.98
10116,9.41,1.34,10.48
10139,-6.47,-11.80,9.88
10163,-12.38,-7.28,13.12
10186,-1.28,10.13,9.58
10210,11.64,13.05,12.81
10233,7.14,-1.86,8.88
10257,-5.46,-11.65,9.38
10281,-11.81,-4.49,12.14
10304,1.68,11.82,9.77
10328,12.01,11.84,13.54
10351,5.00,-4.55,7.85
10375,-8.84,-12.63,11.13
10398,-10.30,-0.53,10.74
10422,2.02,11.88,9.73
10445,11.84,8.87,13.65
10469,4.63,-4.82,7.74
10492,-11.71,-12.13,13.24
10516,-10.00,0.02,10.62
10539,7.32,12.95,10.41
10563,11.76,8.78,13.53
10586,0.96,-8.08,7.23
10610,-11.10,-12.02,12.93
10633,-8.15,2.78,9.83
10657,4.25,12.67,10.02
10681,11.37,7.27,13.24
10704,0.30,-8.57,7.24
10728,-11.46,-11.96,13.24
10751,-7.75,3.62,9.70
10775,4.89,12.55,10.19
10798,11.29,6.49,13.09
10822,3.74,-5.42,7.45
10845,-11.11,-11.63,13.14
10869,-10.43,-1.09,10.96
10892,3.83,12.22,10.05
10916,11.57,10.74,13.59
10939,5.23,-4.25,7.86
10963,-7.13,-12.07,10.40
10986,-11.16,-2.92,11.71
11010,-3.03,8.96,9.68
11033,11.28,11.98,13.07
11057,9.49,1.67,10.77
11081,-4.73,-11.06,8.97
11104,-11.89,-5.43,12.67
11128,-4.19,7.61,9.56
11151,11.28,12.63,12.79
11175,9.75,2.28,11.12
11198,-4.72,-11.26,8.73
11222,-12.30,-8.94,13.68
11245,-3.62,8.13,9.53
11269,10.17,13.29,11.59
11293,9.23,1.38,10.61
11316,-2.27,-10.08,7.52
11340,-12.40,-7.73,13.39
11363,-5.55,6.23,9.51
11387,11.11,13.08,12.21
11410,10.34,3.64,11.89
11434,-3.77,-10.67,8.07
11457,-12.35,-10.00,13.80
11481,-4.47,7.16,9.50
11505,11.74,12.77,12.81
11528,9.62,2.24,11.11
11552,-5.72,-11.61,8.86
11575,-12.49,-8.37,13.66
11599,-2.52,8.83,9.54
11622,10.59,13.32,11.80
11646,8.99,0.84,10.50
11669,-2.35,-9.93,7.49
11693,-12.37,-7.88,13.52
11716,-5.89,5.55,9.58
11740,10.84,13.02,11.98
11763,10.56,4.70,12.31
11787,-2.56,-10.15,7.58
11810,-12.16,-7.68,13.50
11834,-6.20,5.16,9.56
11857,10.42,12.95,11.82
11881,10.70,5.46,12.61
11905,-1.64,-9.57,7.31
11928,-11.74,-11.25,13.54
11952,-6.79,4.22,9.67
11975,6.08,12.76,10.27
11999,10.99,6.12,13.09
12022,3.50,-5.47,7.30
12046,-10.97,-11.98,13.03
12069,-10.51,-1.72,11.29
12093,4.16,12.36,9.96
12116,11.80,10.72,13.78
12140,4.55,-4.50,7.61
12163,-8.26,-12.30,10.51
12187,-10.75,-2.12,11.57
12210,-1.16,9.95,9.66
12234,11.73,11.09,13.57
12257,8.47,0.34,10.08
12281,-6.32,-11.51,9.35
12305,-11.53,-4.41,12.49
12328,-3.26,8.17,9.54
12352,11.52,12.33,13.01
12375,9.57,2.44,11.31
12399,-4.11,-10.88,8.17
12422,-12.00,-9.82,13.80
12446,-5.59,5.86,9.57
12469,6.95,12.73,10.53
12493,10.72,5.48,12.79
