timestamp,accel_x,accel_y,accel_z
12480,2.21,0.57,11.31
12503,-2.66,-2.95,10.11
12527,1.52,-1.92,11.77
12550,1.92,0.68,11.20
12574,-2.73,-3.83,10.28
12597,1.90,-1.55,11.78
12621,-0.23,-0.31,10.83
12644,-2.48,-4.06,10.51
12668,3.03,-0.20,11.78
12691,-0.89,-0.94,10.75
12715,-0.64,-3.97,11.38
12738,3.11,0.01,11.70
12762,-2.68,-3.04,10.07
12786,0.08,-3.42,11.52
12809,1.58,0.68,11.12
12833,-2.93,-3.33,9.95
12856,2.38,-0.96,11.79
12880,-1.05,-1.17,10.69
12904,-2.02,-4.28,10.83
12927,3.08,0.09,11.65
12951,-1.49,-1.67,10.59
12974,-0.07,-3.60,11.50
12998,3.00,0.13,11.58
13021,-2.79,-3.17,10.01
13045,0.28,-3.35,11.52
13068,1.52,0.69,11.10
13092,-2.86,-3.26,9.99
13115,2.16,-1.31,11.77
13139,1.24,0.68,11.06
13162,-2.46,-4.03,10.54
13186,3.05,-0.31,11.77
13209,-0.40,-0.25,10.84
13233,-1.47,-4.39,11.20
13256,2.96,-0.49,11.83
13280,-1.75,-1.90,10.50
13303,-1.66,-4.33,11.05
13327,2.96,0.09,11.61
13350,-1.54,-1.69,10.57
13374,-0.17,-3.68,11.47
13397,2.99,0.10,11.65
13421,-2.63,-2.99,10.09
13444,-0.26,-3.76,11.47
13468,2.08,0.71,11.28
13491,-2.66,-3.00,10.11
13515,1.39,-2.09,11.68
13538,2.16,0.57,11.31
13562,-2.84,-3.64,10.12
13586,1.19,-2.25,11.67
13609,0.75,0.61,10.97
13633,-2.90,-3.44,10.00
13656,2.34,-1.12,11.77
13680,-0.46,-0.46,10.85
13704,-2.55,-3.93,10.47
13727,3.01,-0.48,11.82
13751,0.14,0.08,10.90
13774,-1.83,-4.34,11.00
13798,2.73,-0.71,11.78
13821,-1.05,-1.12,10.72
13845,-2.24,-4.16,10.74
13868,3.11,-0.26,11.77
13892,-0.19,-0.04,10.89
13915,-1.77,-4.20,11.05
13939,2.66,-0.96,11.78
13962,-0.91,-0.81,10.77
13986,-2.42,-4.05,10.48
14009,2.94,-0.56,11.77
14033,0.25,0.27,10.92
14056,-2.01,-4.34,10.87
14080,2.46,-0.91,11.78
